Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality
105.902,81.027,6.864,3.19,74.81,903.1,919.9,116.9,106.5,147,926.5,8.81,18.76,1
106.053,81.426,6.136,2.87,75.63,904.2,918.8,114.2,103.3,145.1,887,8.89,18.68,4
106.053,81.559,6.188,2.87,75.61,907.2,920.8,117.2,105.6,145.7,898.6,8.88,18.69,4
105.832,81.138,6.188,3.38,75.73,890.7,915.1,117.8,106,146.1,874.9,8.72,18.84,3
106.25,81.357,6.968,3.26,74.8,908.8,926.7,110.3,103.7,145.7,893.7,8.72,18.85,2
106.167,81.185,6.968,3.19,74.83,913.2,926.7,119,106.6,145.6,917,8.83,18.74,2
106.122,82.045,11.128,2.97,75.65,902.4,915.6,115.4,102.4,146.9,868.4,8.78,18.79,4
106.159,81.365,6.968,3.23,74.81,907.9,925.8,120.2,104.4,146.1,913.5,8.79,18.77,2
106.036,82.063,10.972,2.92,75.6,901.2,915.5,120.2,105.7,145.8,893.4,8.86,18.7,4
106.323,80.411,7.228,3.185859537223255,74.83,919.8972294390736,938.2,120.5,104.3,146,917.5,8.68,18.89,1
105.835,81.037,6.292,3.43,75.71,897.4,916,115.4,104.7,146.3,868.9,8.68,18.88,4
105.449,81.402,6.968,3.82,74.82,878.8442064045939,919.9,104.6,104.3,147,917.5,8.84,18.73,1
106.424,81.386,6.968,3.2,74.81,883.7,899.6,125.5,106.2,146,914.1,8.81,18.76,2
105.449,81.058,6.968,3.16,74.82,885.6472582135424,903.0205742860784,116.9,107.8,147.6,930.5,8.85,18.73,1
105.449,81.058,6.968,3.185569898930884,74.83,903.1,904,118.4,107.8,147,882.3,8.59,18.72,1
106.4608372035762,80.411,6.864,3.2,74.83,908.6,935.9,120.5,88.9,147.6,917.5,8.85,18.75,1
106.112,82.072,11.128,2.96,75.63,901.8,916.4,114.5,103.7,145.8,899.2,8.83,18.73,4
105.871,81.19,6.239999999999999,3.29,75.75,891.7,915.1,119.6,107.7,149,895.3,8.79,18.78,3
106.235,81.425,7.124,3.24,74.81,912.3,929.1,116,102.9,145.5,905.3,8.82,18.75,2
106.152,82.091,10.972,2.86,75.61,902.4,918.4,115.4,106.3,145.6,898.3,8.91,18.66,4
106.434,81.522,6.968,3.17,74.83,880,900.7,122,106,146.2,921.9,8.82,18.75,1
106.042,82.013,11.128,2.96,75.64,900.5,917.1,123.8,104.5,145,884.3,8.85,18.72,4
106.25,81.39,6.968,3.22,74.84,916.9,936.5,113,101.9,147.2,919.4,8.82,18.74,2
106.323,81.027,6.864,3.1835686248526005,74.83,885.8526800709387,904,120.5,106.7,145.8,926.5,8.81,18.71,1
106.237,81.471,7.228,3.2,74.83,903.1,926.3,104.6,104.3,147,882.3,8.85,18.72,1
106.078,81.971,10.972,2.87,75.62,903.6,917.5,116.6,106.4,147,896.7,8.91,18.66,4
105.902,81.26,6.292,3.31,75.7,890,909.6,115.7,106.6,145.6,888.6,8.77,18.79,3
105.449,80.411,6.864,4.08,74.82,920.4,935.9,107.3,88.9,147,874.6,8.59,18.98,1
105.967,81.214,6.292,3.29,75.74,896.8,916.7,120.5,107,146.3,897.7,8.81,18.76,3
106.134,81.339,6.968,3.25,74.83,911.6,925.4,109.7,102.2,147.8,915.5,8.85,18.71,2
106.27585713695052,80.617,6.864,4.08,74.82,901.6,918.2,113.9,106.7,147,930.5,8.84,18.77,1
105.968,81.029,6.968,3.16,74.83,907,922.7,116.3,104.7,146.9,919,8.86,18.7,2
106.056,81.973,11.128,2.97,75.63,900,915.5,111.2,102,145.5,880.8,8.83,18.74,4
106.284,81.354,6.864,3.23,74.83,919.9,936.7,116.6,104.9,147.2,902.5,8.8,18.77,2
105.979,81.038,6.968,3.13,74.82,903.3,918.6,116.9,105.9,145.8,919.3,8.87,18.7,2
106.206,81.226,6.968,3.23,74.8,906.8,926.3,115.4,104.8,146,913.5,8.79,18.78,2
106.252,81.29,6.968,3.22,74.81,908.6,926.9,119.6,105.9,146.3,912.8,8.84,18.73,2
106.27330142036864,81.402,6.968,3.2,74.82,920.5052690719224,926.3,127.3,88.9,145.8,933.1,8.85,18.75,1
106.038,81.24,6.968,3.19,74.8,909.7,923.8,120.5,106.9,145.5,915.4,8.82,18.75,2
106.349,81.349,6.968,3.17,74.83,909.6,928,113.6,104.6,145.6,913.5,8.81,18.75,2
105.928,81.142,6.188,3.26,75.67,889.8,914.9,119.6,106.5,147.3,894.3,8.78,18.78,3
106.4764082241313,81.058,6.864,3.186532341380385,74.83,901.6,919.9,113.9,104.3,148.1,930.5,8.82,18.72,1
106.096,82.039,11.128,2.96,75.62,902.4,918.8,120.5,103.5,146.2,883,8.82,18.75,4
106.127,82.159,11.128,2.96,75.66,901.1,915.3,114.2,104.2,145.7,885.9,8.88,18.69,4
105.865,81.139,6.292,3.34,75.78,891.3,911.4,120.5,105.9,145.7,881.5,8.78,18.79,3
105.449,81.362,6.864,3.1900675355613743,74.83,903.1,918.2,120.5,106.4808419318227,145.6,937.7,8.85,18.75,1
106.517,81.426,6.968,3.13,74.82,882.6,900,118.1,108.1,146.7,916,8.81,18.76,2
106.07,81.932,10.764,2.89,75.62,900.9,918,119.6,107.2,145.1,898.6,8.87,18.7,4
106.047,82.007,11.128,2.9,75.64,905.7,919.3,120.2,105.6,145.4,885,8.92,18.65,4
106.27556747096958,80.617,6.864,3.1857916042827594,74.83,919.5347755758812,904,120.5,106.39467332672868,146,926.5,8.81,18.76,1
106.48564026579676,81.058,6.864,3.187293787357339,74.82,901.6,902.2134022909448,107.3,106.2,146.7,920.2,8.76,18.75,1
105.449,80.617,6.864,3.2,74.81,908.6,919.9,107.3,107.8,148.1,930.5,8.82,18.76,1
153.582,81.918,10.868,2.86,75.67,900.5,918.4,117.5,107.8,145.4,912,8.92,18.65,4
106.27593707319102,81.058,6.864,3.22,74.83,903.1,938.2,118.4,104.9,146,930.5,8.8,18.72,1
106.256,81.421,6.968,3.28,74.83,908.6,925.2,111.8,103.2,146.4,909.1,8.8,18.76,2
106.107,81.346,6.188,2.83,75.65,903.6,919.9,114.5,107.5,145.3,915.7,8.98,18.59,4
106.248,81.237,6.968,3.23,74.83,913.8,928.6,115.4,103.8,145.8,915.9,8.82,18.74,2
106.304,81.398,7.124,3.21,74.8,910.3,923.9,113.9,104.5,147,920.8,8.81,18.75,2
106.248,81.32,6.968,3.22,74.81,913.1,928.2,119.6,104.6,145.2,918,8.82,18.75,2
106.062,81.956,11.128,2.97,75.65,901.4,918.2,115.1,102.5,146.3,878,8.76,18.8,4
106.098,82.032,11.128,2.98,75.63,902.9,920.1,117.5,101.7,146.6,881.6,8.86,18.71,4
105.938,81.253,6.292,3.26,75.7,891.1,910.1,120.8,108.5,145.9,902.3,8.81,18.75,3
106.16,81.096,7.124,3.1,74.8,920.6,937.6,116.3,109.6,145.6,932.7,8.9,18.67,2
105.777,81.071,6.292,3.32,75.77,892.8,916,122.3,110.3,146,897.2,8.79,18.78,3
106.258,81.149,6.864,3.17,74.83,909,925.8,116,106.5,145.9,923.1,8.87,18.7,1
106.028,81.21,6.968,3.18,74.8,912.1,926.5,115.7,105.1,146.9,921.9,8.84,18.73,2
105.533,80.831,6.292,4.66,75.77,893.3,912,100.1,84.8,147.7,810.7,8.5,19.07,3
106.323,81.343,6.864,3.181642016,74.81,919.7276783,918.2,118.4,104.3,146.1,933.1,8.82,18.71,1
106.287,81.349,6.968,3.27,74.81,921.2,937.6,112.7,101.8,145.7,907.6,8.8,18.77,2
106.27355851148492,81.162,6.864,3.192578445600457,74.81,885.6393902004633,904,118.4,88.9,146.1,937.7,8.85,18.73,1
106.323,81.058,6.864,3.188001607254382,74.82,879.0289531395503,896.8,104.6,107.8,146.7,937.7,8.8,18.75,1
106.035,81.427,6.188,2.88,75.67,905.7,921,119.9,106.5,146.6,897.3,8.89,18.67,4
105.675,80.964,6.292,3.83,75.74,897.7,920.6,105.5,95.2,147.1,829.4,8.55,19.02,3
106.083,82.04,11.128,2.99,75.64,902.4,916.4,112.4,100.9,146,876,8.76,18.8,4
105.911,81.155,6.188,3.35,75.75,890.4,911.2,113.6,106.5,148,896,8.82,18.75,3
106.33,81.503,6.968,3.24,74.82,912.1,930,116.9,104,145.7,906.2,8.81,18.76,2
110.467,82.038,11.128,2.87,75.66,901.4,918.4,117.5,105.8,145.2,903.7,8.88,18.69,4
106.323,81.162,7.124,4.08,74.81,885.0550527931583,904,127.3,93.1,147.6,917.5,8.8,18.89,1
151.787,82.054,10.972,2.97,75.67,903.3,918.4,111.8,105.2,145.5,889.8,8.82,18.75,4
105.866,81.073,6.188,3.34,75.73,891.7,913.4,119.6,103.9,145.4,877,8.72,18.85,3
106.073,81.465,6.084,2.91,75.64,907.7,922.8,113,105.4,145.5,895.7,8.89,18.67,4
113.338,80.996,6.968,3.16,74.82,919.5,937,119.3,108.9,145.5,920.6,8.89,18.67,2
106.323,81.027,6.864,3.22,74.82,920.0422807,919.9,120.5,88.9,147,926.5,8.83,18.76,1
106.082,82.095,11.128,2.93,75.62,902.9,921.2,120.2,105,147,894,8.86,18.71,4
106.241,81.379,6.968,3.21,74.8,913.8,929.9,112.4,104.3,145.9,920.9,8.83,18.73,2
106.15,81.241,6.968,3.2,74.82,908.4,926.7,113.3,103.8,146.4,920.1,8.84,18.73,2
106.248,81.296,6.968,3.2,74.8,914,930.6,117.5,106,145.6,910.4,8.81,18.75,2
105.938,81.13,6.239999999999999,3.35,75.74,894.6,911,116.6,105.2,146.1,881.5,8.75,18.81,3
